name,type,resolver,ttl,status,answers,error
ietf.org,SOA,auth:ken.ns.cloudflare.com@108.162.193.127,1800.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
ietf.org,TXT,auth:ken.ns.cloudflare.com@108.162.193.127,300.0,OK,"""ca3-5567e36d3f9947308ac2892e009840cc""; ""v=spf1 ip4:166.84.6.31 ip4:166.84.7.238 ip6:2602:f977:800:f7f6::/64 include:_spf.google.com include:spf.hostedrt.com ~all""; ""vs58md9pf8hu6knlglfda9lk6g""",
ietf.org,A,auth:ken.ns.cloudflare.com@172.64.33.127,300.0,OK,104.16.44.99; 104.16.45.99,
ietf.org,AAAA,auth:ken.ns.cloudflare.com@172.64.33.127,300.0,OK,2606:4700::6810:2c63; 2606:4700::6810:2d63,
ietf.org,CNAME,auth:ken.ns.cloudflare.com@172.64.33.127,,NODATA,,
ietf.org,MX,auth:ken.ns.cloudflare.com@172.64.33.127,60.0,OK,0 mail2.ietf.org.,
ietf.org,NS,auth:ken.ns.cloudflare.com@172.64.33.127,86400.0,OK,jill.ns.cloudflare.com.; ken.ns.cloudflare.com.,
ietf.org,SOA,auth:ken.ns.cloudflare.com@172.64.33.127,1800.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
ietf.org,TXT,auth:ken.ns.cloudflare.com@172.64.33.127,300.0,OK,"""ca3-5567e36d3f9947308ac2892e009840cc""; ""v=spf1 ip4:166.84.6.31 ip4:166.84.7.238 ip6:2602:f977:800:f7f6::/64 include:_spf.google.com include:spf.hostedrt.com ~all""; ""vs58md9pf8hu6knlglfda9lk6g""",
ietf.org,A,auth:ken.ns.cloudflare.com@173.245.59.127,300.0,OK,104.16.44.99; 104.16.45.99,
ietf.org,AAAA,auth:ken.ns.cloudflare.com@173.245.59.127,300.0,OK,2606:4700::6810:2c63; 2606:4700::6810:2d63,
ietf.org,CNAME,auth:ken.ns.cloudflare.com@173.245.59.127,,NODATA,,
ietf.org,MX,auth:ken.ns.cloudflare.com@173.245.59.127,60.0,OK,0 mail2.ietf.org.,
ietf.org,NS,auth:ken.ns.cloudflare.com@173.245.59.127,86400.0,OK,jill.ns.cloudflare.com.; ken.ns.cloudflare.com.,
ietf.org,SOA,auth:ken.ns.cloudflare.com@173.245.59.127,1800.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
ietf.org,TXT,auth:ken.ns.cloudflare.com@173.245.59.127,300.0,OK,"""ca3-5567e36d3f9947308ac2892e009840cc""; ""v=spf1 ip4:166.84.6.31 ip4:166.84.7.238 ip6:2602:f977:800:f7f6::/64 include:_spf.google.com include:spf.hostedrt.com ~all""; ""vs58md9pf8hu6knlglfda9lk6g""",
ietf.org,A,auth:ken.ns.cloudflare.com@2606:4700:58::adf5:3b7f,300.0,OK,104.16.44.99; 104.16.45.99,
ietf.org,AAAA,auth:ken.ns.cloudflare.com@2606:4700:58::adf5:3b7f,300.0,OK,2606:4700::6810:2c63; 2606:4700::6810:2d63,
ietf.org,CNAME,auth:ken.ns.cloudflare.com@2606:4700:58::adf5:3b7f,,NODATA,,
ietf.org,MX,auth:ken.ns.cloudflare.com@2606:4700:58::adf5:3b7f,60.0,OK,0 mail2.ietf.org.,
ietf.org,NS,auth:ken.ns.cloudflare.com@2606:4700:58::adf5:3b7f,86400.0,OK,jill.ns.cloudflare.com.; ken.ns.cloudflare.com.,
ietf.org,SOA,auth:ken.ns.cloudflare.com@2606:4700:58::adf5:3b7f,1800.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
ietf.org,TXT,auth:ken.ns.cloudflare.com@2606:4700:58::adf5:3b7f,300.0,OK,"""ca3-5567e36d3f9947308ac2892e009840cc""; ""v=spf1 ip4:166.84.6.31 ip4:166.84.7.238 ip6:2602:f977:800:f7f6::/64 include:_spf.google.com include:spf.hostedrt.com ~all""; ""vs58md9pf8hu6knlglfda9lk6g""",
ietf.org,A,auth:ken.ns.cloudflare.com@2803:f800:50::6ca2:c17f,300.0,OK,104.16.44.99; 104.16.45.99,
